iter	RMSE
0	14.33282462
1	13.45155756
2	12.59767043
3	11.81439977
4	11.11801764
5	10.53694732
6	10.05133423
7	9.578019208
8	9.1780575
9	8.759976706
10	8.388590537
11	8.085352966
12	7.810049372
13	7.574566393
14	7.327349592
15	7.161442512
16	6.970967867
17	6.816534693
18	6.674783798
19	6.54252163
20	6.443924573
21	6.354625334
22	6.251120345
23	6.167864185
24	6.089015577
25	6.01486933
26	5.935848949
27	5.869609625
28	5.827037404
29	5.781585548
30	5.731357959
31	5.692661322
32	5.653169174
33	5.620858893
34	5.576399658
35	5.546732121
36	5.523340198
37	5.491128982
38	5.466860495
39	5.442463212
40	5.422033643
41	5.408601011
42	5.391260501
43	5.381070181
44	5.357213488
45	5.339095351
46	5.31614059
47	5.302075704
48	5.281831826
49	5.272377766
50	5.259148273
51	5.241789298
52	5.221310675
53	5.19667029
54	5.18242178
55	5.166706474
56	5.152772344
57	5.139686513
58	5.130425024
59	5.109666478
60	5.093764862
61	5.084145021
62	5.069637249
63	5.049205825
64	5.043702289
65	5.035464915
66	5.02073335
67	5.00541374
68	4.998865209
69	4.983614331
70	4.971740791
71	4.957436098
72	4.949382722
73	4.940242417
74	4.92486161
75	4.913630883
76	4.901196268
77	4.897674649
78	4.888302541
79	4.871795409
80	4.853164607
81	4.844233421
82	4.836874008
83	4.824784372
84	4.818821309
85	4.808639248
86	4.793693298
87	4.781548756
88	4.775233719
89	4.766861339
90	4.758130744
91	4.744122082
92	4.728939325
93	4.721241476
94	4.717766761
95	4.713931044
96	4.701188324
97	4.691630351
98	4.689707939
99	4.682603899
