iter	Passed	Remaining
0	57	57418
1	57	28893
2	58	19396
3	58	14642
4	59	11789
5	59	9887
6	60	8522
7	61	7605
8	61	6800
9	62	6150
10	62	5618
11	62	5175
12	63	4802
13	63	4478
14	63	4200
15	64	3959
16	64	3743
17	65	3556
18	65	3384
19	65	3228
20	66	3086
21	66	2963
22	67	2846
23	67	2738
24	67	2639
25	68	2547
26	68	2462
27	68	2383
28	68	2309
29	69	2242
30	69	2179
31	70	2121
32	70	2064
33	70	2012
34	71	1962
35	71	1914
36	71	1868
37	72	1824
38	72	1783
39	72	1747
40	73	1713
41	73	1677
42	73	1643
43	74	1611
44	74	1581
45	74	1550
46	75	1522
47	75	1497
48	75	1470
49	76	1445
50	76	1421
51	76	1399
52	77	1376
53	77	1355
54	77	1334
55	78	1315
56	78	1296
57	78	1278
58	78	1259
59	79	1241
60	79	1225
61	79	1209
62	80	1193
63	80	1177
64	80	1163
65	81	1148
66	81	1134
67	81	1120
68	82	1106
69	82	1092
70	82	1080
71	82	1067
72	83	1055
73	83	1044
74	83	1033
75	84	1022
76	84	1011
77	84	1001
78	85	992
79	85	981
80	85	972
81	86	963
82	86	954
83	86	945
84	87	937
85	87	928
86	87	920
87	88	912
88	88	904
89	88	896
90	88	888
91	89	881
92	89	873
93	89	866
94	90	859
95	90	852
96	90	844
97	91	837
98	91	831
99	91	824
100	91	817
101	92	811
102	92	805
103	92	798
104	92	792
105	93	786
106	93	780
107	93	775
108	94	769
109	94	764
110	94	759
111	95	754
112	95	749
113	95	744
114	96	739
115	96	735
116	96	730
117	97	725
118	97	720
119	97	716
120	97	711
121	98	707
122	98	702
123	98	698
124	99	694
125	99	690
126	99	686
127	100	681
128	100	677
129	100	674
130	101	670
131	101	667
132	101	663
133	102	660
134	102	656
135	102	652
136	102	648
137	103	644
138	103	641
139	103	637
140	104	634
141	104	631
142	104	627
143	105	624
144	105	621
145	105	618
146	106	615
147	106	612
148	106	608
149	106	606
150	107	603
151	107	600
152	107	596
153	108	594
154	108	591
155	108	588
156	109	585
157	109	582
158	109	579
159	109	576
160	110	573
161	110	571
162	110	568
163	110	565
164	111	563
165	111	560
166	111	557
167	112	555
168	112	552
169	112	550
170	113	548
171	113	545
172	113	543
173	113	540
174	114	538
175	114	536
176	114	534
177	115	531
178	115	529
179	115	526
180	115	524
181	116	522
182	116	520
183	116	517
184	117	515
185	117	513
186	117	511
187	117	509
188	118	507
189	118	505
190	118	503
191	119	501
192	119	499
193	119	497
194	120	495
195	120	493
196	120	491
197	120	489
198	121	487
199	121	486
200	121	484
201	122	482
202	122	480
203	122	478
204	123	477
205	123	477
206	124	475
207	124	473
208	124	472
209	124	470
210	125	468
211	125	466
212	125	465
213	126	463
214	126	461
215	126	459
216	127	460
217	127	458
218	128	457
219	128	455
220	128	453
221	129	452
222	129	450
223	129	448
224	129	447
225	130	445
226	130	444
227	130	442
228	131	441
229	131	439
230	131	438
231	131	436
232	132	435
233	132	433
234	132	431
235	132	430
236	133	428
237	133	427
238	133	426
239	134	424
240	134	423
241	134	421
242	134	420
243	135	420
244	136	419
245	136	418
246	136	416
247	136	415
248	137	414
249	137	412
250	137	411
251	138	410
252	138	409
253	138	408
254	139	406
255	139	405
256	139	404
257	140	403
258	140	402
259	140	400
260	141	399
261	141	398
262	141	397
263	142	396
264	142	394
265	142	393
266	143	392
267	143	391
268	143	390
269	144	389
270	144	388
271	144	387
272	144	385
273	145	384
274	145	383
275	145	382
276	146	381
277	146	380
278	146	379
279	146	377
280	147	376
281	147	375
282	147	374
283	148	373
284	148	372
285	148	371
286	149	370
287	149	369
288	149	368
289	150	367
290	150	366
291	150	365
292	151	365
293	151	364
294	151	363
295	152	362
296	152	361
297	152	360
298	153	359
299	153	358
300	153	357
301	154	356
302	154	355
303	154	354
304	155	353
305	155	352
306	155	351
307	156	350
308	156	349
309	156	348
310	157	347
311	157	347
312	157	346
313	158	345
314	158	344
315	158	343
316	159	342
317	159	341
318	159	340
319	159	339
320	160	339
321	160	338
322	160	337
323	161	336
324	161	335
325	161	334
326	162	333
327	162	332
328	162	331
329	162	330
330	163	329
331	163	329
332	163	328
333	164	327
334	164	326
335	164	325
336	165	324
337	165	323
338	165	323
339	166	322
340	166	321
341	166	320
342	166	319
343	167	319
344	167	318
345	167	317
346	168	316
347	168	315
348	168	315
349	169	314
350	169	313
351	169	312
352	170	311
353	170	311
354	170	310
355	171	309
356	171	308
357	171	307
358	172	307
359	172	306
360	173	307
361	173	306
362	174	305
363	174	304
364	174	303
365	175	303
366	175	302
367	175	301
368	175	300
369	176	300
370	176	299
371	176	298
372	177	297
373	177	297
374	177	296
375	178	295
376	178	294
377	178	294
378	179	293
379	179	292
380	179	291
381	180	291
382	180	290
383	180	289
384	180	289
385	181	288
386	181	287
387	181	286
388	182	286
389	182	285
390	182	284
391	182	283
392	183	283
393	183	282
394	183	281
395	184	280
396	184	280
397	184	279
398	184	278
399	185	277
400	185	277
401	185	276
402	186	275
403	186	275
404	186	274
405	187	273
406	187	272
407	187	272
408	187	271
409	188	270
410	188	270
411	188	269
412	189	268
413	189	268
414	189	267
415	190	266
416	190	266
417	190	265
418	190	264
419	191	264
420	191	263
421	191	262
422	192	262
423	192	261
424	192	261
425	193	260
426	193	259
427	193	259
428	194	258
429	194	257
430	194	257
431	195	256
432	195	255
433	195	255
434	196	254
435	196	253
436	196	253
437	196	252
438	197	252
439	197	251
440	197	250
441	198	250
442	198	249
443	198	248
444	199	248
445	199	247
