iter	Passed	Remaining
0	58	58770
1	59	29561
2	59	19878
3	60	15008
4	60	12062
5	60	10096
6	61	8698
7	61	7645
8	62	6827
9	62	6175
10	62	5640
11	63	5197
12	63	4831
13	63	4505
14	64	4223
15	64	3977
16	65	3758
17	65	3569
18	65	3398
19	66	3247
20	66	3105
21	66	2978
22	67	2860
23	67	2752
24	68	2653
25	68	2560
26	68	2474
27	69	2396
28	69	2323
29	69	2253
30	70	2188
31	70	2126
32	70	2074
33	71	2019
34	71	1968
35	71	1920
36	72	1875
37	72	1833
38	72	1791
39	73	1752
40	73	1715
41	73	1679
42	73	1646
43	74	1614
44	74	1584
45	74	1553
46	75	1527
47	75	1501
48	75	1474
49	76	1449
50	76	1426
51	76	1403
52	77	1380
53	77	1358
54	77	1339
55	78	1320
56	78	1303
57	79	1286
58	79	1267
59	79	1249
60	80	1232
61	80	1217
62	80	1201
63	81	1185
64	81	1170
65	81	1157
66	82	1142
67	82	1129
68	82	1115
69	83	1103
70	83	1090
71	83	1078
72	83	1065
73	84	1054
74	84	1042
75	84	1031
76	85	1021
77	85	1011
78	85	1001
79	86	991
80	86	982
81	87	974
82	87	963
83	87	954
84	87	944
85	88	936
86	88	927
87	88	919
88	89	911
89	89	903
90	89	896
91	90	888
92	90	880
93	90	872
94	90	865
95	91	858
96	91	851
97	91	844
98	92	838
99	92	831
100	92	824
101	92	818
102	93	812
103	93	805
104	93	799
105	94	794
106	94	788
107	94	783
108	95	778
109	95	773
110	95	768
111	96	762
112	96	758
113	96	753
114	97	748
115	97	743
116	97	738
117	98	733
118	98	728
119	98	725
120	99	720
121	99	716
122	99	712
123	100	708
124	100	704
125	100	700
126	101	695
127	101	691
128	101	687
129	102	683
130	102	679
131	102	675
132	102	671
133	103	667
134	103	663
135	103	659
136	104	656
137	104	652
138	104	648
139	105	645
140	105	642
141	105	638
142	106	635
143	106	632
144	106	629
145	106	625
146	107	622
147	107	619
148	107	616
149	108	612
150	108	609
151	108	606
152	109	603
153	109	600
154	109	597
155	109	594
156	110	591
157	110	589
158	110	586
159	111	583
160	111	580
161	111	577
162	111	574
163	112	571
164	112	569
165	112	566
166	113	564
167	113	561
168	113	558
169	113	556
170	114	553
171	114	551
172	114	548
173	115	546
174	115	544
175	115	542
176	116	540
177	116	537
178	116	535
179	117	534
180	117	532
181	118	530
182	118	528
183	118	525
184	118	523
185	119	521
186	119	519
187	119	517
188	120	515
189	120	513
190	120	511
191	121	509
192	121	507
193	121	505
194	122	504
195	122	502
196	122	500
197	123	498
198	124	499
199	124	497
200	124	495
201	124	493
202	125	491
203	125	490
204	125	488
205	126	486
206	126	485
207	126	483
208	127	481
209	127	479
210	127	478
211	128	476
212	128	474
213	128	472
214	129	471
215	129	469
216	129	468
217	130	466
218	130	464
219	130	463
220	130	461
221	131	460
222	131	458
223	131	457
224	132	455
225	132	454
226	132	452
227	133	450
228	133	449
229	133	448
230	134	446
231	134	445
232	134	443
233	135	442
234	135	441
235	135	439
236	136	438
237	136	437
238	136	436
239	137	434
240	137	433
241	137	431
242	138	430
243	138	429
244	138	427
245	139	426
246	139	425
247	139	423
248	140	424
249	141	423
250	141	422
251	141	420
252	142	419
253	142	418
254	142	417
255	143	416
256	143	415
257	143	413
258	144	412
259	144	411
260	144	410
261	145	408
262	145	407
263	145	406
264	146	405
265	146	404
266	146	403
267	147	402
268	147	400
269	147	399
270	148	398
271	148	397
272	148	396
273	149	394
274	149	393
275	149	392
276	149	391
277	150	390
278	150	389
279	150	387
280	151	386
281	151	385
282	151	384
283	152	383
284	152	382
285	152	381
286	153	380
287	153	379
288	153	378
289	154	377
290	154	376
291	154	375
292	155	374
293	155	373
294	155	372
295	156	371
296	156	370
297	156	369
298	156	367
299	157	366
300	157	365
301	157	365
302	158	365
303	159	364
304	159	363
305	159	362
306	160	361
307	160	360
308	160	359
309	161	358
310	161	358
311	162	357
312	162	356
313	162	356
314	163	355
315	163	354
316	163	352
317	164	352
318	164	351
319	164	350
320	165	349
321	165	348
322	165	347
323	166	347
324	166	346
325	167	345
326	167	344
327	167	343
328	167	342
329	168	341
330	168	340
331	169	340
332	169	339
333	169	338
334	169	337
335	170	336
336	170	335
337	171	335
338	171	334
339	171	333
340	172	332
341	172	331
342	172	331
343	173	330
344	173	329
345	173	328
346	174	327
347	174	327
348	174	326
349	175	325
350	175	324
351	175	323
352	176	322
353	176	322
354	176	321
355	177	320
356	177	319
357	177	318
358	178	318
359	178	317
360	178	316
361	179	315
362	179	314
363	179	313
364	179	312
365	180	312
366	180	311
367	180	310
368	182	311
369	182	310
370	182	309
371	183	309
372	183	308
373	183	307
374	184	306
375	184	305
376	184	305
377	185	304
378	185	303
379	185	303
380	185	302
381	186	301
382	186	300
383	186	299
384	187	299
385	187	298
386	187	297
387	188	296
388	188	295
389	188	295
390	189	294
391	189	293
392	189	292
393	190	292
394	190	291
395	190	290
396	190	290
397	191	289
398	191	288
399	191	287
400	192	287
401	192	286
402	192	285
403	193	285
404	193	284
405	193	283
406	194	283
407	194	282
408	194	281
409	195	280
410	195	280
411	195	279
412	196	278
413	196	278
414	196	277
415	197	276
416	197	275
417	197	275
418	197	274
419	198	273
420	198	273
421	198	272
422	199	271
423	199	270
424	199	270
425	200	269
426	200	268
427	200	268
428	201	267
429	201	266
430	201	266
431	201	265
432	202	264
433	202	264
434	202	263
435	203	262
436	203	262
437	203	261
438	204	260
439	204	260
440	204	259
441	205	258
442	205	258
443	205	257
444	206	256
445	206	256
446	206	255
447	206	254
448	207	254
449	207	253
450	207	253
451	208	252
452	208	251
453	208	251
454	209	250
455	209	249
456	209	249
457	210	248
458	210	247
459	210	247
460	210	246
461	211	245
462	211	245
463	211	244
464	212	244
465	212	243
466	212	242
467	213	242
468	213	241
469	213	241
470	214	240
471	214	239
472	214	239
473	214	238
474	215	238
475	215	237
476	215	236
477	216	236
478	216	235
479	216	234
480	217	234
481	217	233
482	217	233
483	218	232
484	218	231
485	218	231
486	219	230
487	219	230
488	219	229
489	219	228
490	220	229
491	221	228
492	221	227
493	221	227
494	222	226
495	222	225
496	222	225
497	223	224
498	223	224
499	223	223
500	224	223
501	224	222
502	224	221
503	224	221
504	225	220
505	225	220
506	225	219
507	226	219
508	226	218
509	226	217
510	227	217
511	227	216
512	227	216
513	228	215
514	228	215
515	228	214
516	229	214
517	229	213
518	229	212
519	230	212
520	230	211
521	230	211
522	231	210
523	231	210
524	231	209
525	231	209
526	232	208
527	232	207
528	232	207
529	233	206
530	233	206
531	233	205
532	234	205
533	234	204
534	234	203
535	234	203
536	235	202
537	235	202
538	235	201
539	236	201
540	236	200
541	236	200
542	237	199
543	237	199
544	237	198
545	238	197
546	238	197
547	238	196
548	238	196
549	239	195
550	239	195
551	239	194
552	240	194
553	240	193
554	241	193
555	241	192
556	241	192
557	242	191
558	242	191
559	242	190
560	243	190
561	243	189
562	243	189
563	244	188
564	244	188
565	244	187
566	244	187
567	245	186
568	245	186
569	245	185
570	246	185
571	246	184
572	247	184
573	247	183
574	247	183
575	248	182
576	248	182
577	248	181
578	248	180
579	249	180
580	249	180
581	249	179
582	250	178
583	250	178
584	250	177
585	251	177
586	251	176
587	251	176
588	252	175
589	252	175
590	252	174
591	253	174
592	253	173
593	253	173
594	253	172
595	254	172
596	254	171
597	254	171
598	255	170
599	255	170
600	256	170
601	256	169
602	257	169
603	257	168
604	258	168
605	258	168
606	258	167
607	259	167
608	259	166
609	259	166
610	260	165
611	260	165
612	261	164
613	261	164
614	261	163
615	262	163
616	262	162
617	262	162
618	263	161
619	263	161
620	263	160
621	264	160
622	264	159
623	264	159
624	265	159
625	265	158
626	265	158
627	266	157
628	266	157
629	266	156
630	267	156
631	267	155
632	267	155
633	268	154
634	268	154
635	268	153
636	269	153
637	269	152
638	269	152
639	270	151
640	270	151
641	270	151
642	271	150
643	271	150
644	271	149
645	272	149
646	272	148
647	272	148
648	273	147
649	273	147
650	273	146
651	274	146
652	274	145
653	274	145
654	274	144
655	275	144
656	275	143
657	275	143
658	276	142
659	276	142
660	276	142
661	277	141
662	277	141
663	277	140
664	278	140
665	278	139
666	278	139
667	279	138
668	279	138
669	279	137
670	280	137
671	280	136
672	280	136
673	281	135
674	281	135
675	281	135
676	282	134
677	282	134
678	282	133
679	283	133
680	283	132
681	283	132
682	284	131
683	284	131
684	284	130
685	285	130
686	285	130
687	285	129
688	286	129
689	286	128
690	286	128
691	287	127
692	287	127
693	287	126
694	288	126
695	288	125
696	288	125
697	289	125
698	289	124
699	289	124
700	290	123
701	290	123
702	290	122
703	291	122
704	291	121
705	291	121
706	292	121
707	292	120
708	292	120
709	292	119
710	293	119
711	294	118
712	294	118
713	294	118
714	295	117
715	295	117
716	295	116
717	296	116
718	296	115
719	296	115
720	297	114
721	297	114
722	297	114
723	298	113
724	298	113
725	298	112
726	299	112
727	299	111
728	299	111
729	300	111
730	300	110
731	300	110
732	300	109
733	301	109
734	301	108
735	301	108
736	302	107
737	302	107
738	302	106
739	303	106
740	303	106
741	303	105
742	304	105
743	304	104
744	304	104
745	305	103
746	305	103
747	305	103
748	306	102
749	306	102
750	306	101
751	307	101
752	307	100
753	307	100
754	308	99
755	308	99
756	308	99
757	308	98
758	309	98
759	309	97
760	309	97
761	310	96
762	310	96
763	310	96
764	311	95
765	311	95
766	311	94
767	312	94
768	312	93
769	312	93
770	312	92
771	313	92
772	314	92
773	314	91
774	314	91
775	315	91
776	315	90
777	316	90
778	316	89
779	316	89
780	317	88
781	317	88
782	317	88
783	318	87
784	318	87
785	319	86
786	319	86
787	319	86
788	320	85
789	321	85
790	321	85
791	322	84
792	322	84
793	322	83
794	323	83
795	323	82
796	323	82
797	323	82
798	324	81
799	324	81
800	324	80
801	325	80
802	325	79
803	325	79
804	326	78
805	326	78
806	326	78
807	327	77
808	327	77
809	327	76
810	328	76
811	328	76
812	328	75
813	329	75
814	329	74
815	330	74
816	330	74
817	330	73
818	331	73
819	331	72
820	331	72
821	332	71
822	332	71
823	332	71
824	333	70
825	333	70
826	333	69
827	334	69
828	334	68
829	334	68
830	334	68
831	335	67
832	335	67
833	335	66
834	336	66
835	336	66
836	336	65
837	336	65
838	337	64
839	337	64
840	337	63
841	338	63
842	338	63
843	338	62
844	339	62
845	339	61
846	339	61
847	340	60
848	340	60
849	340	60
850	340	59
851	341	59
852	341	58
853	341	58
854	342	58
855	342	57
856	342	57
857	343	56
858	343	56
859	343	55
860	344	55
861	344	55
862	344	54
863	345	54
864	345	53
865	345	53
866	346	53
867	346	52
868	346	52
869	346	51
870	347	51
871	347	51
872	347	50
873	348	50
874	348	49
875	348	49
876	349	48
877	349	48
878	349	48
879	350	47
880	350	47
881	350	46
882	351	46
883	351	46
884	351	45
885	351	45
886	352	44
887	352	44
888	352	44
889	353	43
890	353	43
891	353	42
892	354	42
893	354	42
894	354	41
895	355	41
896	355	40
897	356	40
898	356	40
899	356	39
900	357	39
901	357	38
902	358	38
903	358	38
904	359	37
905	359	37
906	359	36
907	360	36
908	360	36
909	360	35
910	360	35
911	361	34
912	361	34
913	361	34
914	362	33
915	362	33
916	362	32
917	363	32
918	364	32
919	364	31
920	364	31
921	365	30
922	365	30
923	365	30
924	366	29
925	366	29
926	366	28
927	367	28
928	368	28
929	368	27
930	368	27
931	369	26
932	369	26
933	369	26
934	369	25
935	370	25
936	370	24
937	370	24
938	371	24
939	371	23
940	371	23
941	372	22
942	372	22
943	372	22
944	373	21
945	373	21
946	373	20
947	374	20
948	374	20
949	374	19
950	375	19
951	375	18
952	375	18
953	375	18
954	376	17
955	376	17
956	376	16
957	377	16
958	377	16
959	377	15
960	378	15
961	378	14
962	378	14
963	379	14
964	379	13
965	379	13
966	379	12
967	380	12
968	380	12
969	380	11
970	381	11
971	381	10
972	381	10
973	382	10
974	382	9
975	382	9
976	383	9
977	383	8
978	383	8
979	384	7
980	384	7
981	384	7
982	384	6
983	385	6
984	385	5
985	385	5
986	386	5
987	386	4
988	386	4
989	387	3
990	387	3
991	387	3
992	388	2
993	388	2
994	388	1
995	389	1
996	389	1
997	389	0
998	390	0
999	390	0
